id,date,client_id,card_id,amount,use_chip,merchant_id,merchant_city,merchant_state,zip,mcc,errors,target,current_age,retirement_age,birth_year,birth_month,gender,address,latitude,longitude,per_capita_income,yearly_income,total_debt,credit_score,num_credit_cards,card_brand,card_type,card_number,expires,cvv,has_chip,num_cards_issued,credit_limit,acct_open_date,year_pin_last_changed,card_on_dark_web
7495951,2010-01-06 09:06:00,1963,3364,$29.85,Swipe Transaction,88852,Vacaville,CA,95687.0,4121,,No,98,69,1921,11,Male,468 Spruce Street,38.35,-121.93,$26137,$33869,$370,821,7,Visa,Debit,4714171193381622,11/2024,214,YES,1,$18384,06/2007,2009,No
7590241,2010-01-30 12:54:00,1105,218,$81.14,Online Transaction,9932,ONLINE,,,5311,,No,77,60,1942,6,Male,766 Mountain View Drive,26.21,-98.31,$14275,$22104,$20031,670,3,Visa,Debit,4755440234138028,10/2020,584,YES,1,$4507,01/2009,2019,No
7502869,2010-01-07 22:43:00,1475,1177,$69.39,Swipe Transaction,20519,Pearl City,HI,96782.0,5942,,No,98,60,1921,11,Female,412 Burns Drive,21.31,-158.01,$22778,$42306,$472,725,5,Mastercard,Debit,5123561690852830,05/2024,861,YES,1,$13378,02/2009,2009,No
7496811,2010-01-06 12:04:00,797,5428,$79.86,Swipe Transaction,10796,Honolulu,HI,96825.0,7230,,No,61,69,1958,9,Female,7945 Fourth Avenue,21.3,-157.85,$30410,$62005,$149968,651,9,Mastercard,Debit,5493144869722779,05/2021,307,YES,1,$28912,11/2005,2012,No
7587732,2010-01-29 17:28:00,1515,3320,$25.21,Swipe Transaction,32606,Lewistown,PA,17044.0,7832,,No,77,67,1942,12,Female,7239 Hill Lane,40.34,-76.42,$20983,$30457,$19314,520,5,Mastercard,Debit (Prepaid),5823790653455975,02/2021,850,YES,3,$29,06/2006,2012,No
7517558,2010-01-11 17:28:00,1475,4496,$2.59,Swipe Transaction,14528,Ewa Beach,HI,96706.0,5499,,No,98,60,1921,11,Female,412 Burns Drive,21.31,-158.01,$22778,$42306,$472,725,5,Visa,Debit,4783119984911395,10/2020,467,YES,2,$15516,09/1998,2014,No
7586685,2010-01-29 13:12:00,1963,4565,$17.93,Swipe Transaction,88852,Vacaville,CA,95687.0,4121,,No,98,69,1921,11,Male,468 Spruce Street,38.35,-121.93,$26137,$33869,$370,821,7,Visa,Credit,4845860911762398,12/2023,234,YES,1,$20700,09/2004,2012,No
7535387,2010-01-16 12:20:00,1475,4496,$6.71,Swipe Transaction,23481,Ewa Beach,HI,96706.0,5812,,No,98,60,1921,11,Female,412 Burns Drive,21.31,-158.01,$22778,$42306,$472,725,5,Visa,Debit,4783119984911395,10/2020,467,YES,2,$15516,09/1998,2014,No
7548738,2010-01-19 17:46:00,1475,1177,$60.95,Swipe Transaction,23481,Ewa Beach,HI,96706.0,5812,,No,98,60,1921,11,Female,412 Burns Drive,21.31,-158.01,$22778,$42306,$472,725,5,Mastercard,Debit,5123561690852830,05/2024,861,YES,1,$13378,02/2009,2009,No
7553217,2010-01-20 21:47:00,1963,4565,$147.93,Swipe Transaction,67570,Granite Bay,CA,95746.0,5311,,No,98,69,1921,11,Male,468 Spruce Street,38.35,-121.93,$26137,$33869,$370,821,7,Visa,Credit,4845860911762398,12/2023,234,YES,1,$20700,09/2004,2012,No
7495542,2010-01-06 07:33:00,1963,3317,$7.20,Swipe Transaction,50783,Vacaville,CA,95688.0,5411,,No,98,69,1921,11,Male,468 Spruce Street,38.35,-121.93,$26137,$33869,$370,821,7,Mastercard,Debit,5735308019363324,02/2024,502,YES,1,$25297,06/2006,2006,No
7516882,2010-01-11 14:43:00,1475,4496,$9.61,Swipe Transaction,53544,Ewa Beach,HI,96706.0,5921,,No,98,60,1921,11,Female,412 Burns Drive,21.31,-158.01,$22778,$42306,$472,725,5,Visa,Debit,4783119984911395,10/2020,467,YES,2,$15516,09/1998,2014,No
7513032,2010-01-10 15:13:00,1963,4565,$24.98,Swipe Transaction,88852,Vacaville,CA,95687.0,4121,,No,98,69,1921,11,Male,468 Spruce Street,38.35,-121.93,$26137,$33869,$370,821,7,Visa,Credit,4845860911762398,12/2023,234,YES,1,$20700,09/2004,2012,No
7550375,2010-01-20 08:52:00,1963,5418,$26.09,Swipe Transaction,88852,Vacaville,CA,95687.0,4121,,No,98,69,1921,11,Male,468 Spruce Street,38.35,-121.93,$26137,$33869,$370,821,7,Visa,Debit,4982128140473182,06/2020,133,YES,1,$29041,11/2004,2008,No
7557750,2010-01-22 06:40:00,303,4194,$94.86,Swipe Transaction,20561,Windsor,CO,80550.0,5912,,No,94,66,1926,1,Male,93 Lafayette Boulevard,40.48,-104.9,$27185,$60080,$1807,690,6,Amex,Credit,387958574593201,08/2021,842,YES,1,$20000,08/2007,2020,No
7510976,2010-01-10 07:53:00,1475,4496,$2.36,Swipe Transaction,53544,Ewa Beach,HI,96706.0,5921,,No,98,60,1921,11,Female,412 Burns Drive,21.31,-158.01,$22778,$42306,$472,725,5,Visa,Debit,4783119984911395,10/2020,467,YES,2,$15516,09/1998,2014,No
7518937,2010-01-12 07:37:00,1963,3317,$23.70,Swipe Transaction,88852,Vacaville,CA,95687.0,4121,,No,98,69,1921,11,Male,468 Spruce Street,38.35,-121.93,$26137,$33869,$370,821,7,Mastercard,Debit,5735308019363324,02/2024,502,YES,1,$25297,06/2006,2006,No
7516683,2010-01-11 13:54:00,1963,4565,$15.99,Swipe Transaction,88852,Vacaville,CA,95687.0,4121,,No,98,69,1921,11,Male,468 Spruce Street,38.35,-121.93,$26137,$33869,$370,821,7,Visa,Credit,4845860911762398,12/2023,234,YES,1,$20700,09/2004,2012,No
7571217,2010-01-25 14:11:00,1105,218,$40.14,Swipe Transaction,19756,Mission,TX,78572.0,7832,,No,77,60,1942,6,Male,766 Mountain View Drive,26.21,-98.31,$14275,$22104,$20031,670,3,Visa,Debit,4755440234138028,10/2020,584,YES,1,$4507,01/2009,2019,No
7512467,2010-01-10 13:05:00,1963,4565,$24.71,Online Transaction,18563,ONLINE,,,4121,,No,98,69,1921,11,Male,468 Spruce Street,38.35,-121.93,$26137,$33869,$370,821,7,Visa,Credit,4845860911762398,12/2023,234,YES,1,$20700,09/2004,2012,No
7571429,2010-01-25 14:55:00,1428,5116,$9.64,Online Transaction,18563,ONLINE,,,4121,,No,35,62,1984,11,Female,800 Ninth Boulevard,37.67,-92.66,$13963,$28472,$42750,508,1,Mastercard,Debit (Prepaid),5027529544926447,12/2022,25,YES,1,$47,10/2008,2016,No
7536423,2010-01-16 16:22:00,1475,3746,$2.67,Swipe Transaction,14528,Ewa Beach,HI,96706.0,5499,,No,98,60,1921,11,Female,412 Burns Drive,21.31,-158.01,$22778,$42306,$472,725,5,Visa,Debit,4818828811526445,05/2024,311,YES,2,$9956,07/2005,2010,No
7500384,2010-01-07 10:33:00,1428,5116,$34.22,Swipe Transaction,24823,Lebanon,MO,65536.0,7538,,No,35,62,1984,11,Female,800 Ninth Boulevard,37.67,-92.66,$13963,$28472,$42750,508,1,Mastercard,Debit (Prepaid),5027529544926447,12/2022,25,YES,1,$47,10/2008,2016,No
7594429,2010-01-31 13:12:00,797,2839,$59.84,Online Transaction,75393,ONLINE,,,7996,,No,61,69,1958,9,Female,7945 Fourth Avenue,21.3,-157.85,$30410,$62005,$149968,651,9,Mastercard,Debit,5326004022460542,04/2023,904,YES,1,$36309,05/2003,2006,No
7560567,2010-01-22 20:11:00,1171,4213,$95.34,Swipe Transaction,54773,Kailua Kona,HI,96740.0,5311,,No,90,67,1929,12,Male,73 Summit Street,21.4,-157.73,$26370,$39214,$0,781,5,Mastercard,Credit,5496928595053350,07/2023,165,YES,2,$13500,08/2007,2007,No
7546140,2010-01-19 07:37:00,1371,2070,$0.36,Swipe Transaction,75781,Kaneohe,HI,96744.0,5411,,No,86,65,1933,6,Female,143 Catherine Boulevard,21.41,-157.79,$24516,$49529,$1385,689,6,Visa,Credit,4007064696917946,11/2022,478,YES,1,$17300,03/2004,2007,No
7500790,2010-01-07 12:06:00,1475,5155,$177.23,Swipe Transaction,81482,Ewa Beach,HI,96706.0,6300,,No,98,60,1921,11,Female,412 Burns Drive,21.31,-158.01,$22778,$42306,$472,725,5,Mastercard,Debit,5253350118420216,08/2020,499,YES,1,$3614,10/2009,2009,No
7551273,2010-01-20 12:16:00,1475,1177,$5.20,Swipe Transaction,23481,Ewa Beach,HI,96706.0,5812,,No,98,60,1921,11,Female,412 Burns Drive,21.31,-158.01,$22778,$42306,$472,725,5,Mastercard,Debit,5123561690852830,05/2024,861,YES,1,$13378,02/2009,2009,No
7540961,2010-01-17 19:05:00,1171,3237,$28.26,Swipe Transaction,75936,Kailua,HI,96734.0,5814,,No,90,67,1929,12,Male,73 Summit Street,21.4,-157.73,$26370,$39214,$0,781,5,Mastercard,Debit (Prepaid),5454433543896442,06/2023,8,YES,2,$87,06/2002,2007,No
7523190,2010-01-13 08:42:00,14,2164,$45.05,Swipe Transaction,2177,Honolulu,HI,96815.0,5411,,No,79,57,1940,12,Female,2487 Martin Luther King Drive,21.39,-158.01,$21314,$32232,$21134,652,5,Visa,Debit,4610833826779556,04/2018,523,YES,2,$3899,03/2007,2008,No
7518223,2010-01-11 22:46:00,1475,4496,$50.24,Swipe Transaction,32858,Makawao,HI,96768.0,5311,,No,98,60,1921,11,Female,412 Burns Drive,21.31,-158.01,$22778,$42306,$472,725,5,Visa,Debit,4783119984911395,10/2020,467,YES,2,$15516,09/1998,2014,No
7554898,2010-01-21 10:41:00,320,1144,$135.53,Online Transaction,4802,ONLINE,,,4899,,No,34,75,1985,8,Male,6444 Madison Drive,32.22,-110.82,$17480,$35641,$64419,625,2,Mastercard,Debit,5621833591257811,10/2012,690,YES,3,$11696,02/2008,2015,No
7558169,2010-01-22 08:48:00,1330,4579,$15.54,Swipe Transaction,83480,Santa Barbara,CA,93109.0,9402,,No,65,61,1954,12,Female,35187 West Lane,34.4,-119.72,$33097,$35404,$30887,575,3,Mastercard,Debit,5728056480439167,06/2024,992,YES,2,$14448,09/2005,2011,No
7538132,2010-01-17 07:44:00,1963,3317,$28.41,Online Transaction,16798,ONLINE,,,4121,,No,98,69,1921,11,Male,468 Spruce Street,38.35,-121.93,$26137,$33869,$370,821,7,Mastercard,Debit,5735308019363324,02/2024,502,YES,1,$25297,06/2006,2006,No
7582606,2010-01-28 11:39:00,797,5428,$28.96,Swipe Transaction,98348,Beaverton,OR,97006.0,7832,,No,61,69,1958,9,Female,7945 Fourth Avenue,21.3,-157.85,$30410,$62005,$149968,651,9,Mastercard,Debit,5493144869722779,05/2021,307,YES,1,$28912,11/2005,2012,No
7518024,2010-01-11 21:01:00,20,5535,$475.00,Swipe Transaction,78644,Las Vegas,NV,89148.0,3775,,No,86,67,1933,12,Female,3631 Plum Boulevard,32.42,-97.1,$19477,$23371,$0,757,8,Mastercard,Credit,5866750746796733,01/2014,754,YES,1,$16400,11/2008,2008,No
7499840,2010-01-07 08:33:00,1963,4565,$21.39,Swipe Transaction,88852,Vacaville,CA,95687.0,4121,,No,98,69,1921,11,Male,468 Spruce Street,38.35,-121.93,$26137,$33869,$370,821,7,Visa,Credit,4845860911762398,12/2023,234,YES,1,$20700,09/2004,2012,No
7523540,2010-01-13 09:59:00,1492,5452,$156.46,Swipe Transaction,86616,Bothell,WA,98011.0,4814,,No,63,58,1957,2,Female,2883 Ocean View Boulevard,47.32,-121.99,$32697,$56635,$13015,786,8,Mastercard,Debit,5516722949603675,12/2012,621,YES,1,$31542,11/2006,2009,No
7485125,2010-01-03 12:56:00,303,4194,$64.23,Swipe Transaction,61195,Brighton,CO,80601.0,5541,,No,94,66,1926,1,Male,93 Lafayette Boulevard,40.48,-104.9,$27185,$60080,$1807,690,6,Amex,Credit,387958574593201,08/2021,842,YES,1,$20000,08/2007,2020,No
7583255,2010-01-28 13:57:00,1475,3746,$17.75,Swipe Transaction,1034,Ewa Beach,HI,96706.0,5300,,No,98,60,1921,11,Female,412 Burns Drive,21.31,-158.01,$22778,$42306,$472,725,5,Visa,Debit,4818828811526445,05/2024,311,YES,2,$9956,07/2005,2010,No
7528811,2010-01-14 14:49:00,1475,4496,$11.64,Swipe Transaction,20561,Ewa Beach,HI,96706.0,5912,,No,98,60,1921,11,Female,412 Burns Drive,21.31,-158.01,$22778,$42306,$472,725,5,Visa,Debit,4783119984911395,10/2020,467,YES,2,$15516,09/1998,2014,No
7585331,2010-01-29 07:14:00,303,4194,$82.25,Swipe Transaction,20561,Windsor,CO,80550.0,5912,,No,94,66,1926,1,Male,93 Lafayette Boulevard,40.48,-104.9,$27185,$60080,$1807,690,6,Amex,Credit,387958574593201,08/2021,842,YES,1,$20000,08/2007,2020,No
7569391,2010-01-25 07:53:00,1963,4565,$21.10,Swipe Transaction,88852,Vacaville,CA,95687.0,4121,,No,98,69,1921,11,Male,468 Spruce Street,38.35,-121.93,$26137,$33869,$370,821,7,Visa,Credit,4845860911762398,12/2023,234,YES,1,$20700,09/2004,2012,No
7573324,2010-01-26 07:23:00,1077,2539,$1.44,Swipe Transaction,47033,Ukiah,CA,95482.0,4121,,No,57,54,1962,12,Female,886 Plum Boulevard,39.12,-123.28,$17899,$12044,$10323,576,3,Mastercard,Debit,5324493090826390,11/2014,819,YES,2,$17034,04/2007,2007,No
7480185,2010-01-02 08:39:00,1963,5418,$18.36,Swipe Transaction,88852,Vacaville,CA,95687.0,4121,,No,98,69,1921,11,Male,468 Spruce Street,38.35,-121.93,$26137,$33869,$370,821,7,Visa,Debit,4982128140473182,06/2020,133,YES,1,$29041,11/2004,2008,No
7489318,2010-01-04 13:37:00,1963,3317,$22.54,Swipe Transaction,88852,Vacaville,CA,95687.0,4121,,No,98,69,1921,11,Male,468 Spruce Street,38.35,-121.93,$26137,$33869,$370,821,7,Mastercard,Debit,5735308019363324,02/2024,502,YES,1,$25297,06/2006,2006,No
7504717,2010-01-08 13:15:00,1470,3896,$18.99,Swipe Transaction,86410,Fredericksburg,TX,78624.0,5211,,No,88,57,1931,9,Male,636 Main Avenue,30.79,-98.43,$13088,$22371,$994,700,4,Mastercard,Debit,5794248541023903,01/2024,162,YES,3,$4394,07/2009,2009,No
7525041,2010-01-13 15:18:00,1135,4977,$21.52,Swipe Transaction,99631,Torrance,CA,90503.0,4121,,No,89,69,1931,1,Female,796 West Lane,33.84,-118.35,$31496,$68010,$0,704,7,Visa,Credit,4018902833542405,08/2023,755,YES,1,$22400,10/2002,2010,No
7560895,2010-01-22 22:36:00,1475,3746,$75.64,Swipe Transaction,48919,Ewa Beach,HI,96706.0,5311,,No,98,60,1921,11,Female,412 Burns Drive,21.31,-158.01,$22778,$42306,$472,725,5,Visa,Debit,4818828811526445,05/2024,311,YES,2,$9956,07/2005,2010,No
7539712,2010-01-17 13:07:00,1963,5418,$19.62,Online Transaction,16798,ONLINE,,,4121,,No,98,69,1921,11,Male,468 Spruce Street,38.35,-121.93,$26137,$33869,$370,821,7,Visa,Debit,4982128140473182,06/2020,133,YES,1,$29041,11/2004,2008,No
7476475,2010-01-01 09:45:00,386,3673,$50.10,Swipe Transaction,3632,Worcester,MA,1602.0,7538,,No,48,64,1971,11,Male,3034 Third Boulevard,42.26,-71.8,$24506,$49967,$62509,655,1,Mastercard,Debit,5639527120868397,10/2023,126,YES,1,$25093,07/2002,2006,No
7505854,2010-01-08 18:09:00,1428,5116,$9.78,Swipe Transaction,80263,Lebanon,MO,65536.0,4121,,No,35,62,1984,11,Female,800 Ninth Boulevard,37.67,-92.66,$13963,$28472,$42750,508,1,Mastercard,Debit (Prepaid),5027529544926447,12/2022,25,YES,1,$47,10/2008,2016,No
7586665,2010-01-29 13:10:00,1077,2539,$92.32,Swipe Transaction,2022,Ukiah,CA,95482.0,8021,,No,57,54,1962,12,Female,886 Plum Boulevard,39.12,-123.28,$17899,$12044,$10323,576,3,Mastercard,Debit,5324493090826390,11/2014,819,YES,2,$17034,04/2007,2007,No
7563185,2010-01-23 14:58:00,1475,1177,$10.36,Swipe Transaction,53544,Ewa Beach,HI,96706.0,5921,,No,98,60,1921,11,Female,412 Burns Drive,21.31,-158.01,$22778,$42306,$472,725,5,Mastercard,Debit,5123561690852830,05/2024,861,YES,1,$13378,02/2009,2009,No
7479443,2010-01-01 23:55:00,1963,4565,$67.68,Swipe Transaction,67570,Granite Bay,CA,95746.0,5311,,No,98,69,1921,11,Male,468 Spruce Street,38.35,-121.93,$26137,$33869,$370,821,7,Visa,Credit,4845860911762398,12/2023,234,YES,1,$20700,09/2004,2012,No
